,Age,KMS,Price,Long Range,Performance,Standard
198,2,24063,450000,1,0,0
199,1,28300,471670,1,0,0
200,3,25000,429670,1,0,0
201,2,45021,410670,0,0,1
202,3,85000,369000,1,0,0
203,2,45000,449000,0,1,0
204,2,72000,409000,1,0,0
205,2,76000,409000,1,0,0
206,2,65600,415000,1,0,0
207,3,68700,399000,1,0,0
208,1,37400,465670,1,0,0
209,0,8500,535000,1,0,0
210,3,41000,401670,1,0,0
211,1,45000,479000,1,0,0
212,1,16000,488000,1,0,0
213,3,58915,351670,0,0,1
214,1,13000,551670,1,0,0
215,3,47000,430000,1,0,0
216,3,21000,430000,1,0,0
217,1,29700,475000,1,0,0
218,3,38000,401670,0,1,0
219,1,13150,419900,0,0,1
220,1,20665,419000,0,0,1
221,1,22100,474900,1,0,0
222,3,73428,409000,0,1,0
223,2,99000,419000,0,1,0
224,3,28400,406670,1,0,0
225,0,2490,469900,0,0,1
226,3,52000,425000,1,0,0
227,3,73398,369000,1,0,0
228,3,52000,296670,0,0,1
229,3,51700,399000,1,0,0
230,1,28600,499000,0,1,0
231,2,38600,465670,1,0,0
232,0,3000,465000,0,0,1
233,1,30000,481670,1,0,0
234,0,300,599000,0,0,1
235,3,65603,349000,0,0,1
236,1,20299,471670,1,0,0
237,1,39990,515000,0,1,0
238,0,15300,506670,1,0,0
239,3,44000,421670,1,0,0
240,1,19700,409990,0,0,1
241,3,61000,379000,1,0,0
242,2,32074,416670,1,0,0
243,1,23662,469000,1,0,0
244,1,28000,399000,0,0,1
245,1,36000,488670,1,0,0
246,3,68600,369000,1,0,0
247,3,60787,401669,1,0,0
248,0,1077,465000,0,0,1
249,3,67500,369000,0,0,1
250,3,90500,396670,1,0,0
251,3,81500,369669,0,1,0
252,2,37550,436670,0,0,1
253,1,9500,501670,1,0,0
254,3,73000,378990,1,0,0
255,1,26000,509900,1,0,0
256,3,28600,361670,0,0,1
257,3,56800,369900,1,0,0
258,3,72000,385000,1,0,0
259,3,50990,429900,0,1,0
260,3,52000,409990,0,1,0
261,2,49971,480670,0,1,0
262,1,26937,479900,1,0,0
263,3,117200,379900,0,1,0
264,1,49900,449670,1,0,0
265,3,102000,359000,0,0,1
266,1,19500,489000,1,0,0
267,1,17403,549900,0,1,0
268,1,82000,422000,1,0,0
269,1,17500,499670,1,0,0
270,1,18400,412670,0,0,1
271,3,66000,389000,1,0,0
272,3,53150,389000,1,0,0
273,0,2500,561670,0,1,0
274,3,67000,361670,0,0,1
275,1,23000,468000,1,0,0
276,3,48200,360000,0,0,1
277,2,62000,399000,1,0,0
278,1,43000,494000,0,1,0
279,3,71000,379000,1,0,0
280,3,72000,399000,1,0,0
281,1,36000,499000,0,1,0
282,3,71000,349999,1,0,0
283,1,12000,485000,1,0,0
284,1,44774,451670,1,0,0
285,3,27200,459900,0,1,0
286,1,32000,495000,0,1,0
287,3,96200,349900,1,0,0
288,1,43200,489900,0,1,0
289,3,96100,349670,1,0,0
290,1,47000,451670,1,0,0
291,3,63500,423000,1,0,0
292,1,15297,499000,1,0,0
293,1,39000,468900,1,0,0
294,2,36700,481670,0,1,0
295,1,32500,469670,1,0,0
296,3,84820,389999,1,0,0
297,3,36000,389000,1,0,0
298,3,142000,334444,0,0,1
299,3,63000,386670,1,0,0
300,3,72150,399000,1,0,0
301,3,53000,406670,0,1,0
302,2,30000,454999,1,0,0
303,2,60100,419900,1,0,0
304,3,35561,406670,1,0,0
305,3,43718,421670,1,0,0
306,1,20400,449000,1,0,0
307,1,25000,569000,0,1,0
308,1,35000,459000,1,0,0
309,3,89683,426670,1,0,0
310,2,63000,429900,0,1,0
311,3,31200,351670,0,0,1
312,2,25000,530000,1,0,0
313,0,100,525000,1,0,0
314,3,89000,406670,0,0,1
315,1,22817,530000,0,1,0
316,2,54800,425000,1,0,0
317,1,37500,469990,1,0,0
318,2,25000,474670,1,0,0
319,1,40200,495000,0,1,0
320,1,25000,485000,1,0,0
321,1,26000,536670,1,0,0
322,1,50669,389670,0,0,1
323,3,123456,253670,1,0,0
324,2,47000,449000,1,0,0
325,1,24076,499900,0,0,1
326,0,6900,511670,1,0,0
327,1,24000,509000,1,0,0
328,3,48200,406670,1,0,0
329,1,37000,489800,0,0,1
330,3,63639,405000,0,0,1
331,0,600,575000,0,1,0
332,3,76690,399999,1,0,0
333,1,9844,418000,0,0,1
334,3,31500,397670,1,0,0
335,1,43900,409000,0,0,1
336,3,83000,329900,0,0,1
337,1,31000,456670,1,0,0
338,3,85000,399000,1,0,0
339,2,78500,429670,0,1,0
340,1,13600,499000,0,1,0
341,3,65000,361670,1,0,0
342,1,13000,551670,1,0,0
343,3,66000,381670,1,0,0
344,0,20000,436670,0,0,1
345,2,66000,419000,1,0,0
346,2,46000,439000,1,0,0
347,3,69500,406670,0,0,1
348,1,17700,560670,0,1,0
349,3,54000,399999,1,0,0
350,2,85900,399670,1,0,0
351,3,89663,380000,1,0,0
352,0,3797,526670,1,0,0
353,1,9000,498670,1,0,0
354,1,33200,470000,1,0,0
355,3,42000,409670,1,0,0
356,1,31317,457670,1,0,0
357,3,83000,389000,1,0,0
358,3,34518,420170,1,0,0
359,1,42000,445000,0,0,1
360,3,99174,369000,0,0,1
361,3,75000,351670,1,0,0
362,1,29300,511670,0,1,0
363,1,19500,406670,0,0,1
364,3,34800,375670,1,0,0
365,1,32000,489000,1,0,0
366,1,13600,534900,0,0,1
367,1,49000,467900,1,0,0
368,1,32000,486670,1,0,0
369,1,36500,489900,0,1,0
370,3,28000,438000,0,0,1
371,3,103000,359900,1,0,0
372,3,89500,329670,0,0,1
373,2,70000,411670,0,0,1
374,3,25000,399670,1,0,0
375,2,68472,390670,0,0,1
376,1,40200,480000,1,0,0
377,2,61862,419990,1,0,0
378,1,27200,489999,0,1,0
379,1,28100,410000,0,0,1
380,3,46900,439000,1,0,0
381,1,16000,490000,1,0,0
382,3,45254,411670,1,0,0
383,1,11927,494990,1,0,0
384,1,38000,399000,0,0,1
385,1,37000,489800,0,0,1
386,3,62500,386670,1,0,0
387,3,68747,398800,1,0,0
388,3,65330,398800,1,0,0
389,0,1000,549000,0,1,0
390,1,32000,479000,0,0,1
391,1,12000,489990,1,0,0
392,2,36464,440000,1,0,0
393,1,43616,475000,1,0,0
394,2,56000,461670,1,0,0
395,1,21982,485000,1,0,0
396,2,48303,370000,0,0,1
397,2,88132,431570,0,1,0
398,1,24000,469990,1,0,0
399,1,14876,496670,0,0,1
400,3,42300,401670,1,0,0
401,3,64400,379000,1,0,0
402,3,69000,389000,1,0,0
403,1,34500,396670,0,0,1
404,1,43300,461670,1,0,0
405,2,42000,449000,1,0,0
406,2,61000,439000,0,0,1
407,3,42630,391670,1,0,0
408,3,88000,367999,1,0,0
409,1,39000,439999,1,0,0
410,1,24600,418000,0,0,1
411,1,24208,485000,1,0,0
412,1,24900,389170,0,0,1
413,3,84300,369900,1,0,0
414,1,17980,470000,1,0,0
415,3,46000,397000,1,0,0
416,2,35000,398000,1,0,0
417,1,22900,569900,0,1,0
418,1,18000,397670,0,0,1
